candidate_name,start of T90-F (UTC),T90-F,start of T90(UTC),T90,SNR
211005A,2021-10-05T01:23:43.177128,22.59,-,-,-
211005B,2021-10-05T03:17:38.240047,35.52,-,-,-
211005C,2021-10-05T03:24:01.168056,35.2,-,-,-
211005D,2021-10-05T06:37:18.329975,28.93,2021-10-05T06:37:22.233974,31.81,2.74
211005E,2021-10-05T07:06:08.320430,21.44,-,-,-
211005F,2021-10-05T07:14:45.808425,53.5,-,-,-
211005G,2021-10-05T08:34:32.497621,57.15,-,-,-
211006A,2021-10-06T04:24:54.292826,32.77,-,-,-
211006B,2021-10-06T06:10:06.523777,28.1,-,-,-
211006C,2021-10-06T08:07:20.416088,25.86,-,-,-
211006D,2021-10-06T09:45:22.871300,37.12,-,-,-
211006E,2021-10-06T12:00:50.000454,36.42,-,-,-
211007A,2021-10-07T01:05:36.240931,53.7,-,-,-
211008A,2021-10-08T00:44:26.594404,18.3,-,-,-
211008B,2021-10-08T04:08:25.937463,17.66,-,-,-
211008C,2021-10-08T18:08:10.001880,20.54,-,-,-
211008D,2021-10-08T23:20:24.944154,44.99,-,-,-
211009A,2021-10-09T03:01:40.000662,38.34,-,-,-
211009B,2021-10-09T20:54:31.160555,26.94,-,-,-
211010A,2021-10-10T03:02:58.915145,31.17,-,-,-
211010B,2021-10-10T16:13:40.000628,19.97,-,-,-
211011A,2021-10-11T06:06:13.440291,66.5,-,-,-
211011B,2021-10-11T08:46:09.553313,40.38,-,-,-
211011C,2021-10-11T13:51:22.657946,25.09,-,-,-
211012A,2021-10-12T01:25:24.205522,47.81,-,-,-
211012B,2021-10-12T03:43:08.506054,29.57,-,-,-
211012C,2021-10-12T03:54:22.778057,40.32,-,-,-
211012D,2021-10-12T07:01:57.137013,30.59,-,-,-
211012E,2021-10-12T18:44:46.093814,28.61,-,-,-
211013A,2021-10-13T00:14:56.481549,23.62,-,-,-
211013B,2021-10-13T04:44:33.146783,37.25,-,-,-
211013C,2021-10-13T21:09:28.872016,24.06,-,-,-
211014A,2021-10-14T03:38:20.945518,33.6,-,-,-
211014B,2021-10-14T06:32:00.000404,33.28,-,-,-
211015A,2021-10-15T01:02:18.321939,31.62,-,-,-
211015B,2021-10-15T01:25:46.177935,27.2,-,-,-
211015C,2021-10-15T04:55:03.766558,28.54,-,-,-
211015D,2021-10-15T21:43:10.385781,20.61,-,-,-
211015E,2021-10-15T23:13:18.320302,31.62,-,-,-
211016A,2021-10-16T00:37:08.512045,32.77,-,-,-
211016B,2021-10-16T04:10:53.504447,24.32,-,-,-
211016C,2021-10-16T21:23:05.296129,31.81,-,-,-
211017A,2021-10-17T00:55:54.104231,38.53,-,-,-
211017B,2021-10-17T02:54:00.000216,32.9,-,-,-
211017C,2021-10-17T22:25:35.476036,77.63,-,-,-
211017D,2021-10-17T22:57:32.446751,24.96,-,-,-
211017E,2021-10-17T23:24:05.201356,26.94,-,-,-
211018A,2021-10-18T02:46:53.696022,44.54,-,-,-
211018B,2021-10-18T09:00:12.064580,18.11,-,-,-
211019A,2021-10-19T01:06:39.360767,31.04,-,-,-
211019B,2021-10-19T10:30:49.617466,21.95,-,-,-
211019C,2021-10-19T20:21:44.685128,41.66,-,-,-
211020A,2021-10-20T00:09:28.720027,22.46,-,-,-
211020B,2021-10-20T10:14:31.904644,28.03,-,-,-
211021A,2021-10-21T01:09:18.794998,49.66,-,-,-
211021B,2021-10-21T09:21:13.121300,23.23,-,-,-
211021C,2021-10-21T18:28:41.463198,30.98,-,-,-
211021D,2021-10-21T19:52:58.644736,61.25,-,-,-
211021E,2021-10-21T20:28:30.496846,33.34,-,-,-
211021F,2021-10-21T21:29:55.669520,30.59,-,-,-
211022A,2021-10-22T02:03:33.121207,15.94,2021-10-22T02:03:42.721198,6.34,4.89
211022B,2021-10-22T09:18:44.545138,28.03,-,-,-
211022C,2021-10-22T16:31:15.058673,32.51,-,-,-
211022D,2021-10-22T18:11:50.000016,22.4,-,-,-
211022E,2021-10-22T21:18:19.900018,24.7,-,-,-
211022F,2021-10-22T21:49:35.276019,32.96,-,-,-
211022G,2021-10-22T23:48:20.224812,19.71,-,-,-
211023A,2021-10-23T08:40:49.344137,30.59,-,-,-
211023B,2021-10-23T18:22:17.888463,24.96,-,-,-
211023C,2021-10-23T21:12:09.093982,25.86,-,-,-
211024A,2021-10-24T10:31:26.592016,25.34,-,-,-
211024B,2021-10-24T14:15:10.597616,26.56,-,-,-
211024C,2021-10-24T16:24:54.144174,23.23,-,-,-
211024D,2021-10-24T21:17:54.432580,24.19,-,-,-
211025A,2021-10-25T04:57:11.408205,38.53,-,-,-
211026A,2021-10-26T00:29:37.313709,27.14,-,-,-
211026B,2021-10-26T18:49:49.346447,30.02,-,-,-
211026C,2021-10-26T19:08:55.697031,51.01,-,-,-
211026D,2021-10-26T20:38:38.529128,35.9,-,-,-
211026E,2021-10-26T22:20:07.179613,16.7,-,-,-
211027A,2021-10-27T05:03:14.880304,39.55,-,-,-
211027B,2021-10-27T06:19:30.674589,32.06,-,-,-
211027C,2021-10-27T13:56:28.774373,33.79,-,-,-
211027D,2021-10-27T15:27:47.298065,41.6,-,-,-
211027E,2021-10-27T18:37:51.625724,23.68,-,-,-
211027F,2021-10-27T22:11:32.160227,27.78,-,-,-
211028A,2021-10-28T01:55:40.226092,19.71,-,-,-
211028B,2021-10-28T18:16:53.481332,49.6,-,-,-
211028C,2021-10-28T18:23:15.833341,38.46,-,-,-
211028D,2021-10-28T19:14:05.889240,34.05,-,-,-
211028E,2021-10-28T20:26:16.320352,23.62,-,-,-
211028F,2021-10-28T20:39:02.608351,27.33,-,-,-
211029A,2021-10-29T01:19:33.685072,20.29,-,-,-
211029B,2021-10-29T17:28:46.754982,20.54,-,-,-
211029C,2021-10-29T18:12:43.257660,36.8,-,-,-
211029D,2021-10-29T23:06:20.001046,18.3,-,-,-
211029E,2021-10-29T23:46:00.593058,19.14,-,-,-
211030A,2021-10-30T12:23:57.624015,29.31,-,-,-
211030B,2021-10-30T14:34:15.769442,30.4,-,-,-
211030C,2021-10-30T16:21:18.006991,34.94,2021-10-30T16:20:33.846982,69.44,106.32
211030D,2021-10-30T21:38:27.530854,30.91,-,-,-
211030E,2021-10-30T21:45:36.218870,21.25,-,-,-
211031A,2021-10-31T10:28:40.000359,39.94,-,-,-
211031B,2021-10-31T13:14:02.272344,15.55,2021-10-31T13:14:09.952340,4.03,4.08
211031C,2021-10-31T14:44:37.292501,32.51,-,-,-
211031D,2021-10-31T14:58:10.655546,49.28,-,-,-
211101A,2021-11-01T01:32:00.001530,39.68,2021-11-01T01:32:08.577530,24.19,28.15
211101B,2021-11-01T12:43:39.741852,27.9,-,-,-
211101C,2021-11-01T16:07:19.456256,37.76,-,-,-
211101D,2021-11-01T19:10:55.220711,16.0,-,-,-
211102A,2021-11-02T15:43:44.770451,46.53,-,-,-
211103A,2021-11-03T13:47:53.010101,26.24,-,-,-
211103B,2021-11-03T14:46:57.792041,31.74,-,-,-
211105A,2021-11-05T10:01:20.145721,33.28,-,-,-
211105B,2021-11-05T13:40:27.199169,20.67,-,-,-
211105C,2021-11-05T13:56:05.487161,40.64,-,-,-
211105D,2021-11-05T13:58:57.282159,20.61,-,-,-
211105E,2021-11-05T20:50:28.384011,28.61,-,-,-
211106A,2021-11-06T06:21:06.492368,85.44,-,-,-
211106B,2021-11-06T07:13:34.656431,31.23,2021-11-06T07:13:38.944422,28.29,14.85
211106C,2021-11-06T14:41:18.821096,34.24,-,-,-
211107A,2021-11-07T09:57:11.925776,45.18,-,-,-
211107B,2021-11-07T16:46:07.080506,23.17,-,-,-
211107C,2021-11-07T18:36:28.256140,22.14,-,-,-
211107D,2021-11-07T19:30:10.000320,43.14,-,-,-
211108A,2021-11-08T10:52:02.182252,31.04,-,-,-
211108B,2021-11-08T22:18:15.424495,28.35,-,-,-
211109A,2021-11-09T02:47:16.784010,28.48,2021-11-09T02:47:28.240000,12.22,15.02
211109B,2021-11-09T06:03:06.944358,32.45,-,-,-
211109C,2021-11-09T10:51:37.786133,28.67,-,-,-
211109D,2021-11-09T12:28:59.000000,55.94,-,-,-
211109E,2021-11-09T16:29:36.544387,24.51,-,-,-
211110A,2021-11-10T10:26:51.891004,48.77,-,-,-
211110B,2021-11-10T15:42:13.470218,20.29,-,-,-
211110C,2021-11-10T17:17:34.272088,46.91,-,-,-
211110D,2021-11-10T18:51:40.832131,39.1,-,-,-
211111A,2021-11-11T10:11:32.639238,32.38,-,-,-
211111B,2021-11-11T19:57:11.857289,28.35,-,-,-
211111C,2021-11-11T20:34:33.969047,22.98,-,-,-
211112A,2021-11-12T10:10:52.992011,30.85,-,-,-
211112B,2021-11-12T10:54:46.272010,42.18,-,-,-
211112C,2021-11-12T11:56:33.934100,26.3,-,-,-
211112D,2021-11-12T12:30:42.832069,22.46,-,-,-
211112E,2021-11-12T21:14:53.344928,26.56,-,-,-
211113A,2021-11-13T03:08:08.806959,88.9,-,-,-
211113B,2021-11-13T04:54:47.875390,23.23,-,-,-
211113C,2021-11-13T10:19:38.545361,17.47,-,-,-
211113D,2021-11-13T11:50:17.941036,22.85,2021-11-13T11:49:42.805022,55.3,16.57
211113E,2021-11-13T15:11:08.544107,31.62,-,-,-
211113F,2021-11-13T15:16:49.424109,19.71,-,-,-
211114A,2021-11-14T06:17:07.601084,45.25,-,-,-
211114B,2021-11-14T07:54:00.299554,54.14,-,-,-
211114C,2021-11-14T07:57:26.367648,30.85,-,-,-
211114D,2021-11-14T08:39:33.888598,41.34,-,-,-
211114E,2021-11-14T09:53:11.771364,33.41,-,-,-
211114F,2021-11-14T10:16:04.754852,28.03,-,-,-
211114G,2021-11-14T13:17:49.952535,45.89,-,-,-
211115A,2021-11-15T00:08:40.176645,29.76,-,-,-
211115B,2021-11-15T08:00:50.000270,37.7,-,-,-
211115C,2021-11-15T13:49:46.288512,18.62,-,-,-
211115D,2021-11-15T16:15:30.000916,35.9,-,-,-
211116A,2021-11-16T02:28:22.131329,87.3,-,-,-
211116B,2021-11-16T04:14:47.190124,21.44,-,-,-
211116C,2021-11-16T08:01:20.016147,27.65,-,-,-
211116D,2021-11-16T08:40:37.376155,42.56,-,-,-
211116E,2021-11-16T11:19:40.144135,22.08,2021-11-16T11:19:48.720130,5.63,4.26
211116F,2021-11-16T18:02:56.513443,36.22,-,-,-
211116G,2021-11-16T18:05:42.129452,20.99,-,-,-
211116H,2021-11-16T22:52:16.062264,56.96,-,-,-
211116I,2021-11-16T22:53:23.134264,15.17,-,-,-
211117A,2021-11-17T06:33:06.688587,38.27,-,-,-
211117B,2021-11-17T06:43:58.688586,17.41,-,-,-
211117C,2021-11-17T09:23:56.369239,15.42,2021-11-17T09:24:05.841228,1.09,6.23
211117D,2021-11-17T09:26:53.489232,35.39,-,-,-
211117E,2021-11-17T15:19:40.976099,24.64,-,-,-
211119A,2021-11-19T13:01:44.464399,30.78,-,-,-
211120A,2021-11-20T01:38:12.273024,28.93,-,-,-
211120B,2021-11-20T02:10:58.240820,17.41,2021-11-20T02:11:08.416810,3.9,4.31
211120C,2021-11-20T03:30:41.917999,40.38,-,-,-
211120D,2021-11-20T05:19:10.001282,32.7,-,-,-
211121A,2021-11-21T01:54:06.677376,21.57,-,-,-
211121B,2021-11-21T03:08:27.052202,24.51,-,-,-
211121C,2021-11-21T03:11:04.396192,31.17,-,-,-
211121D,2021-11-21T03:27:34.396192,25.41,-,-,-
211121E,2021-11-21T05:17:50.336175,21.5,-,-,-
211121F,2021-11-21T08:38:44.369074,28.74,-,-,-
211121G,2021-11-21T15:20:13.232764,23.87,-,-,-
211121H,2021-11-21T23:36:10.807483,31.55,-,-,-
211121I,2021-11-21T23:53:32.775492,23.23,-,-,-
211122A,2021-11-22T05:27:34.064651,37.31,-,-,-
211122B,2021-11-22T09:25:21.486016,39.04,-,-,-
211123A,2021-11-23T02:50:06.276519,28.8,-,-,-
211123B,2021-11-23T14:42:22.576370,23.42,-,-,-
211123C,2021-11-23T23:51:44.020750,16.0,2021-11-23T23:51:53.748742,2.18,6.82
211124A,2021-11-24T00:11:39.464014,33.47,-,-,-
211124B,2021-11-24T03:32:31.073059,18.94,-,-,-
211124C,2021-11-24T04:26:45.744697,30.08,-,-,-
211124D,2021-11-24T05:44:00.781592,21.12,-,-,-
211124E,2021-11-24T06:29:18.434846,21.89,-,-,-
211124F,2021-11-24T12:15:58.416131,17.09,-,-,-
211124G,2021-11-24T12:58:36.446902,23.49,-,-,-
211125A,2021-11-25T02:13:29.100948,36.67,-,-,-
211125B,2021-11-25T03:20:49.472600,23.94,-,-,-
211125C,2021-11-25T04:19:48.528812,33.34,-,-,-
211126A,2021-11-26T03:37:50.244748,42.37,-,-,-
211126B,2021-11-26T04:17:23.392167,19.78,-,-,-
211126C,2021-11-26T06:11:19.312609,47.1,-,-,-
211126D,2021-11-26T12:37:04.736332,19.65,-,-,-
211127A,2021-11-27T22:36:09.373706,33.6,2021-11-27T22:36:15.389696,27.9,12.66
211128A,2021-11-28T14:58:18.975695,25.6,-,-,-
211128B,2021-11-28T17:20:31.664305,38.27,-,-,-
211128C,2021-11-28T21:25:01.432014,37.5,-,-,-
211129A,2021-11-29T21:11:56.720016,25.22,-,-,-
211130A,2021-11-30T01:08:44.240296,35.07,-,-,-
211130B,2021-11-30T01:24:16.976304,32.96,-,-,-
211130C,2021-11-30T02:10:02.528164,33.47,-,-,-
211130D,2021-11-30T04:37:01.797837,36.74,-,-,-
211130E,2021-11-30T09:13:03.985470,45.95,2021-11-30T09:13:01.233458,40.45,19.77
211130F,2021-11-30T15:19:50.192979,28.61,2021-11-30T15:19:50.064972,29.38,17.25
211130G,2021-11-30T20:00:50.000436,24.0,-,-,-
211130H,2021-11-30T23:34:51.052098,37.57,-,-,-
211201A,2021-12-01T01:03:50.848128,30.72,-,-,-
211201B,2021-12-01T02:29:28.611262,31.3,-,-,-
211201C,2021-12-01T10:00:50.000334,22.27,-,-,-
211201D,2021-12-01T19:48:17.957369,20.1,-,-,-
211201E,2021-12-01T21:42:26.020050,17.41,-,-,-
211201F,2021-12-01T21:49:47.236050,45.89,-,-,-
211201G,2021-12-01T22:56:59.999086,39.17,-,-,-
211201H,2021-12-01T23:08:35.216622,26.5,-,-,-
211202A,2021-12-02T00:41:24.731391,33.41,-,-,-
211202B,2021-12-02T21:24:34.486631,41.28,-,-,-
211203A,2021-12-03T19:33:56.561818,46.78,-,-,-
211203B,2021-12-03T22:33:06.081804,34.75,-,-,-
211204A,2021-12-04T03:37:21.798223,17.22,2021-12-04T03:37:29.222212,4.8,3.68
211204B,2021-12-04T03:43:13.494227,29.18,-,-,-
211204C,2021-12-04T22:19:33.226948,63.62,-,-,-
211205A,2021-12-05T02:53:34.976016,24.96,-,-,-
211205B,2021-12-05T08:07:34.832398,39.62,-,-,-
211205C,2021-12-05T19:08:10.000164,30.08,-,-,-
211205D,2021-12-05T19:18:42.496178,24.45,-,-,-
211205E,2021-12-05T22:16:35.025447,35.07,-,-,-
211205F,2021-12-05T22:42:35.633450,18.75,2021-12-05T22:42:31.921436,20.99,9.54
211205G,2021-12-05T22:47:15.521442,54.14,-,-,-
211206A,2021-12-06T02:21:25.698118,15.68,-,-,-
211206B,2021-12-06T18:46:22.681887,24.32,-,-,-
211206C,2021-12-06T19:17:39.777027,17.6,-,-,-
211206D,2021-12-06T20:22:30.030040,35.39,-,-,-
211206E,2021-12-06T22:54:55.040723,31.36,-,-,-
211207A,2021-12-07T20:27:29.904238,22.21,-,-,-
211207B,2021-12-07T20:52:32.528232,30.46,-,-,-
211207C,2021-12-07T21:34:34.815607,41.02,2021-12-07T21:34:54.335596,17.92,15.65
211207D,2021-12-07T22:19:41.617177,25.22,-,-,-
211207E,2021-12-07T23:20:10.770206,27.33,-,-,-
211208A,2021-12-08T04:42:17.968693,29.76,-,-,-
211208B,2021-12-08T09:01:32.624305,28.99,-,-,-
211208C,2021-12-08T13:54:13.780845,19.52,-,-,-
211208D,2021-12-08T16:32:38.046245,14.66,2021-12-08T16:32:45.918242,4.86,3.71
211208E,2021-12-08T18:10:27.280257,32.19,-,-,-
211208F,2021-12-08T21:48:47.697423,37.57,-,-,-
211209A,2021-12-09T07:07:46.785522,33.15,-,-,-
211209B,2021-12-09T14:43:10.185076,42.88,-,-,-
211209C,2021-12-09T20:07:43.200350,36.74,-,-,-
211209D,2021-12-09T23:48:57.584159,66.24,-,-,-
211210A,2021-12-10T00:05:59.568015,26.37,-,-,-
211210B,2021-12-10T00:50:18.095883,30.91,-,-,-
211210C,2021-12-10T02:20:24.688934,20.99,-,-,-
211210D,2021-12-10T19:21:42.967209,26.75,-,-,-
211211A,2021-12-11T05:39:49.632257,17.15,-,-,-
211211B,2021-12-11T08:24:51.330426,26.24,-,-,-
211211C,2021-12-11T17:56:10.384412,25.54,-,-,-
211211D,2021-12-11T22:48:23.413342,17.02,-,-,-
211212A,2021-12-12T17:32:25.512695,32.45,-,-,-
211213A,2021-12-13T13:45:06.586713,35.65,-,-,-
211213B,2021-12-13T13:52:01.498709,23.68,-,-,-
211213C,2021-12-13T16:54:41.883600,35.84,-,-,-
211213D,2021-12-13T18:39:03.247260,29.5,2021-12-13T18:39:19.951260,6.85,4.33
211215A,2021-12-15T00:08:19.920636,54.08,2021-12-15T00:08:38.800634,31.62,15.77
211215B,2021-12-15T00:13:00.272645,29.38,2021-12-15T00:13:01.872634,22.72,15.11
211216A,2021-12-16T11:16:58.593668,30.85,-,-,-
211216B,2021-12-16T13:39:53.280643,44.1,-,-,-
211216C,2021-12-16T15:25:58.400613,26.11,-,-,-
211216D,2021-12-16T16:59:06.048041,42.3,2021-12-16T16:59:08.800030,25.66,4.57
211216E,2021-12-16T17:02:09.504035,33.54,-,-,-
211217A,2021-12-17T18:29:40.080200,30.91,-,-,-
211219A,2021-12-19T12:25:25.424470,36.86,-,-,-
211219B,2021-12-19T18:09:03.457791,32.96,-,-,-
211220A,2021-12-20T07:02:10.937532,81.47,-,-,-
211220B,2021-12-20T13:48:31.676804,33.98,-,-,-
211220C,2021-12-20T14:03:16.480952,30.91,-,-,-
211220D,2021-12-20T16:56:59.998552,24.9,-,-,-
211220E,2021-12-20T20:02:06.544149,15.62,-,-,-
211220F,2021-12-20T20:08:47.952142,25.02,-,-,-
211221A,2021-12-21T01:11:57.872221,24.06,-,-,-
211221B,2021-12-21T12:23:52.272108,16.96,-,-,-
211221C,2021-12-21T13:31:17.168660,42.18,-,-,-
211222A,2021-12-22T03:02:17.424702,32.51,-,-,-
211222B,2021-12-22T10:12:32.880105,31.62,-,-,-
211222C,2021-12-22T12:14:10.848777,25.28,2021-12-22T12:14:08.416772,24.77,4.25
211222D,2021-12-22T13:14:06.487348,72.9,-,-,-
211222E,2021-12-22T14:27:48.160643,46.66,2021-12-22T14:27:56.416638,3.26,3.7
211222F,2021-12-22T14:51:01.418745,43.33,-,-,-
211223A,2021-12-23T04:43:08.119781,79.68,-,-,-
211223B,2021-12-23T06:22:32.298374,83.9,-,-,-
211224A,2021-12-24T09:29:21.169690,38.21,-,-,-
211224B,2021-12-24T14:53:28.720240,20.29,-,-,-
211225A,2021-12-25T20:56:31.024863,20.48,-,-,-
211225B,2021-12-25T22:03:22.816349,30.08,-,-,-
211226A,2021-12-26T04:02:32.665645,65.92,-,-,-
211226B,2021-12-26T07:29:05.427837,32.9,-,-,-
211226C,2021-12-26T08:21:01.568572,16.38,2021-12-26T08:21:11.168562,2.43,4.61
211226D,2021-12-26T08:22:08.048565,27.14,2021-12-26T08:22:16.432562,4.74,2.81
211226E,2021-12-26T19:44:24.609138,19.84,2021-12-26T19:44:32.033124,6.34,2.76
211226F,2021-12-26T21:24:14.864020,25.54,-,-,-
211226G,2021-12-26T22:48:11.267709,19.26,-,-,-
211227A,2021-12-27T02:51:14.890662,44.86,2021-12-27T02:51:29.610650,20.99,11.98
211227B,2021-12-27T10:37:54.545321,19.26,-,-,-
211228A,2021-12-28T08:03:42.672050,25.73,-,-,-
211228B,2021-12-28T12:00:50.001496,35.46,-,-,-
211229A,2021-12-29T15:03:19.680303,30.02,-,-,-
211229B,2021-12-29T16:28:57.698478,20.93,-,-,-
211229C,2021-12-29T21:57:32.767341,18.75,-,-,-
211229D,2021-12-29T22:26:30.000620,42.43,-,-,-
211229E,2021-12-29T22:43:18.688623,25.09,-,-,-
211230A,2021-12-30T06:29:37.626934,23.1,-,-,-
211230B,2021-12-30T09:21:18.468127,32.06,-,-,-
211230C,2021-12-30T10:58:10.112932,46.66,-,-,-
211230D,2021-12-30T13:39:52.604577,29.31,-,-,-
211231A,2021-12-31T01:15:23.595765,77.95,-,-,-
211231B,2021-12-31T10:01:34.032561,27.07,-,-,-
211231C,2021-12-31T15:20:17.585269,25.92,-,-,-
211231D,2021-12-31T19:55:00.672918,23.23,-,-,-
211231E,2021-12-31T22:39:07.728750,22.21,-,-,-
220101A,2022-01-01T02:46:20.557006,37.76,-,-,-
220101B,2022-01-01T06:17:58.334167,22.59,-,-,-
220101C,2022-01-01T07:42:03.606148,31.68,-,-,-
220101D,2022-01-01T15:58:38.592370,25.34,-,-,-
220101E,2022-01-01T21:51:59.088786,15.55,-,-,-
220102A,2022-01-02T03:38:47.912016,25.02,-,-,-
220102B,2022-01-02T05:58:00.000852,55.81,-,-,-
220102C,2022-01-02T09:38:23.450282,21.7,2022-01-02T09:38:33.178280,26.24,9.07
220102D,2022-01-02T11:14:30.002228,39.04,-,-,-
220102E,2022-01-02T11:53:00.002228,27.84,-,-,-
220102F,2022-01-02T12:06:48.004058,31.94,-,-,-
220102G,2022-01-02T15:21:25.248036,22.72,-,-,-
220102H,2022-01-02T19:39:45.120514,34.82,-,-,-
220103A,2022-01-03T04:12:40.000070,37.18,-,-,-
220103B,2022-01-03T04:59:53.347041,6.59,-,-,-
220103C,2022-01-03T05:32:24.000000,34.24,-,-,-
220103D,2022-01-03T07:53:44.522971,23.17,-,-,-
220103E,2022-01-03T10:53:41.557796,35.26,-,-,-
220104A,2022-01-04T02:06:04.738762,40.06,-,-,-
220104B,2022-01-04T06:00:56.816193,24.7,-,-,-
220104C,2022-01-04T06:06:48.064196,31.87,2022-01-04T06:06:55.040182,13.82,6.74
220104D,2022-01-04T07:02:02.144502,23.04,-,-,-
220104E,2022-01-04T07:30:18.032509,41.02,-,-,-
220104F,2022-01-04T09:13:05.088090,29.57,-,-,-
220104G,2022-01-04T13:42:00.000466,21.25,-,-,-
220105A,2022-01-05T05:28:58.446560,28.29,-,-,-
220105B,2022-01-05T08:42:04.532993,19.78,-,-,-
220105C,2022-01-05T12:32:28.896941,21.82,-,-,-
220105D,2022-01-05T22:14:25.472007,78.46,-,-,-
220106A,2022-01-06T11:15:00.529567,20.42,-,-,-
220106B,2022-01-06T15:28:41.217189,38.72,-,-,-
220107A,2022-01-07T02:25:15.104232,24.83,-,-,-
220107B,2022-01-07T05:02:51.296466,20.67,-,-,-
220107C,2022-01-07T09:51:57.444580,30.4,-,-,-
220108A,2022-01-08T02:53:38.184525,39.68,-,-,-
220108B,2022-01-08T03:47:41.072022,25.66,-,-,-
220108C,2022-01-08T05:08:23.344294,32.9,-,-,-
220108D,2022-01-08T11:48:55.568034,24.83,-,-,-
220108E,2022-01-08T14:12:24.402517,25.54,-,-,-
220108F,2022-01-08T22:02:34.592243,23.55,2022-01-08T22:02:36.704234,22.4,4.13
220109A,2022-01-09T09:59:09.504625,20.1,2022-01-09T09:59:18.144614,6.85,3.54
220109B,2022-01-09T11:41:29.747305,25.98,-,-,-
220109C,2022-01-09T21:21:21.368006,85.57,-,-,-
220110A,2022-01-10T13:04:24.724663,26.69,-,-,-
220110B,2022-01-10T15:29:05.920386,14.02,-,-,-
220110C,2022-01-10T15:28:07.104386,42.88,-,-,-
220111A,2022-01-11T02:36:37.922229,32.83,-,-,-
220111B,2022-01-11T07:29:16.161167,3.78,-,-,-
220111C,2022-01-11T15:57:50.592144,29.38,-,-,-
220111D,2022-01-11T19:14:23.224007,75.71,-,-,-
220112A,2022-01-12T01:07:52.305455,13.76,2022-01-12T01:08:01.457448,0.32,100.32
220112B,2022-01-12T01:51:27.000000,38.59,-,-,-
220112C,2022-01-12T12:23:07.248419,24.58,-,-,-
220112D,2022-01-12T13:15:45.392294,34.69,-,-,-
220112E,2022-01-12T13:20:54.208282,37.7,-,-,-
220112F,2022-01-12T13:21:46.816282,13.12,-,-,-
220112G,2022-01-12T14:59:29.281717,30.66,2022-01-12T14:59:40.353702,15.1,8.45
220112H,2022-01-12T15:52:03.569711,30.4,-,-,-
220112I,2022-01-12T18:11:53.680082,20.99,2022-01-12T18:12:02.256072,2.75,8.97
220113A,2022-01-13T00:45:24.454114,30.72,-,-,-
220113B,2022-01-13T03:39:21.612292,31.42,-,-,-
220113C,2022-01-13T03:41:29.212295,16.7,-,-,-
220113D,2022-01-13T05:43:25.696196,34.24,-,-,-
220113E,2022-01-13T06:18:57.264014,36.67,-,-,-
220113F,2022-01-13T08:34:05.714726,20.54,-,-,-
220113G,2022-01-13T13:40:00.801782,19.14,-,-,-
220113H,2022-01-13T15:13:01.504076,31.17,2022-01-13T15:13:21.088072,5.06,8.31
220113I,2022-01-13T17:09:59.397772,19.26,2022-01-13T17:10:01.061760,23.55,30.78
220114A,2022-01-14T01:24:18.000000,39.36,-,-,-
220114B,2022-01-14T01:37:43.552727,77.95,-,-,-
220114C,2022-01-14T05:24:23.008723,26.82,-,-,-
220114D,2022-01-14T20:46:23.913077,13.89,2022-01-14T20:46:32.873062,0.45,72.96
220115A,2022-01-15T01:10:37.299566,35.39,-,-,-
220115B,2022-01-15T03:20:26.689754,43.65,-,-,-
220115C,2022-01-15T05:19:28.210351,32.58,-,-,-
220115D,2022-01-15T08:25:46.704821,16.0,2022-01-15T08:25:55.152818,1.54,71.15
